date,bltyy:weilai5
2015/9/18,-0.008003283
2015/9/17,0.011511093
2015/9/16,-0.031408308
2015/9/15,-0.015606242
2015/9/14,0.012466237
2015/9/11,0.007804261
2015/9/10,0.005501222
2015/9/9,0.025230769
2015/9/8,-0.005373011
2015/9/7,-0.038531738
2015/9/4,0.027638191
2015/9/3,-0.010955569
2015/9/2,-0.043675889
2015/9/1,-0.022983951
2015/8/31,-0.018092105
2015/8/28,-0.072100904
2015/8/27,0.013418786
2015/8/26,0.064767932
2015/8/25,0.114573786
2015/8/24,0.221149425
2015/8/21,0.176207303
2015/8/20,0.043363416
2015/8/19,-0.056432432
2015/8/18,-0.072098976
2015/8/17,-0.127440904
2015/8/14,-0.06464896
2015/8/13,-0.051671109
2015/8/12,-0.055790534
2015/8/11,-0.031069508
2015/8/10,-0.026067776
2015/8/7,-0.030417495
2015/8/6,0.023922458
2015/8/5,0.011890367
2015/8/4,0.003016895
2015/8/3,0.000397772
2015/7/31,-0.022181892
2015/7/30,-0.043008679
2015/7/29,-0.068565006
2015/7/28,-0.061064426
2015/7/27,-0.06398641
2015/7/24,-0.020959215
2015/7/23,-0.021627566
2015/7/22,-0.033567948
2015/7/21,-0.055446604
2015/7/20,-0.070551071
2015/7/17,-0.035019455
2015/7/16,-0.028065252
2015/7/15,-0.015100966
2015/7/14,-0.006797978
2015/7/13,-0.040719376
2015/7/10,-0.019435845
2015/7/9,-0.032942775
2015/7/8,-0.019986334
2015/7/7,0.029879434
2015/7/6,0.011306314
2015/7/3,0.039724576
2015/7/2,-0.033195706
2015/7/1,-0.073348446
2015/6/30,-0.073638414
2015/6/29,-0.102945835
2015/6/26,-0.023229553
2015/6/25,-0.020459952
2015/6/24,-0.021598613
2015/6/23,-0.006920415
2015/6/22,-0.039361537
2015/6/19,-0.003162055
2015/6/18,0.010836653
2015/6/17,-0.011812247
2015/6/16,0.013029827
2015/6/15,-0.006596513
2015/6/12,-0.018611198
2015/6/11,-0.002789833
2015/6/10,-0.027035283
2015/6/9,-0.036616735
2015/6/8,-0.027084601
2015/6/5,0.020886076
2015/6/4,0.035426222
2015/6/3,0.064251208
2015/6/2,0.03138732
2015/6/1,-0.03349136
2015/5/29,-0.026931363
2015/5/28,-0.05118411
2015/5/27,0.013842482
2015/5/26,0.050441767
2015/5/25,0.017060573
2015/5/22,-0.006828528
2015/5/21,-0.041482385
2015/5/20,-0.063628159
2015/5/19,-0.016471675
2015/5/18,0.022498061
2015/5/15,-0.011010558
2015/5/14,-0.005683518
2015/5/13,-0.025356339
2015/5/12,-0.038633652
2015/5/11,-0.022412268
2015/5/8,0.032268025
2015/5/7,0.016161
2015/5/6,0.021484077
2015/5/5,0.005485545
2015/5/4,-0.041438508
2015/5/1,-0.01115634
2015/4/30,-0.013231093
2015/4/29,0.009730539
2015/4/28,0.030030488
2015/4/27,0.02725724
2015/4/24,0.028770302
2015/4/23,0.020003054
2015/4/22,0.01297097
2015/4/21,0.027366746
2015/4/20,0.045947258
2015/4/17,0.031663516
2015/4/16,0.016321406
2015/4/15,-0.017047232
2015/4/14,-0.014351778
2015/4/13,0.055010803
2015/4/10,0.079085521
2015/4/9,0.081895093
2015/4/8,0.082700276
2015/4/7,0.050270553
2015/4/6,0.00733538
2015/4/2,0.019844694
2015/4/1,0.050607655
2015/3/31,0.010762174
2015/3/30,0.063883848
2015/3/27,0.024575672
2015/3/26,-0.01764077
2015/3/25,-0.037037037
2015/3/24,-0.022703086
2015/3/23,0.022599892
2015/3/20,0.004115226
2015/3/19,0.065918146
2015/3/18,0.035255233
2015/3/17,-0.017060601
2015/3/16,0.048592871
2015/3/13,0.019759926
2015/3/12,-0.00783385
2015/3/11,-0.015914655
2015/3/10,-0.084507042
2015/3/9,-0.048497628
2015/3/6,-0.063470398
2015/3/5,-0.044771133
2015/3/4,-0.040382397
2015/3/3,-0.06058105
2015/3/2,-0.038865202
2015/2/27,-0.002167028
2015/2/26,-0.02896927
2015/2/25,0.000991408
