date,1: zhangdiefu,2: zhangdiefu,3: zhangdiefu,4: zhangdiefu,5: zhangdiefu,6: zhangdiefu,7: zhangdiefu,8: zhangdiefu,9: zhangdiefu,10: zhangdiefu,13: zhangdiefu,14: zhangdiefu,15: zhangdiefu,16: zhangdiefu,17: zhangdiefu,19: zhangdiefu,20: zhangdiefu,21: zhangdiefu,22: zhangdiefu,23: zhangdiefu,24: zhangdiefu,25: zhangdiefu,26: zhangdiefu,27: zhangdiefu
2017/5/15,0.006779661,-0.019723866,0.028169964,0,0,,,0.003207758,0.003186459,,0.003815528,-0.0234375,0,0,0,0,0,-0.020054945,0,0,,0,-0.092307692,
2017/5/14,-0.018302829,,,,,,,,,,-0.006100577,-0.015384615,0,0.035460993,0,0,,,,,,,,
2017/5/13,0.020373514,,,,,,,,,,0.010159893,0.045016077,-0.090452261,0.1015625,-0.008,0.046511628,,,,,,,,
2017/5/12,0.01991342,0.001976285,0.000793436,0,-0.00974026,,,-0.010766081,-0.0057095,,-0.004971826,0.011382114,0.093406593,-0.007751938,-0.208860759,-0.06010929,0,-0.00952381,0,0,,0,0,
2017/5/11,0.001734605,0.006965174,-0.006657388,0,-0.00805153,,,-0.038566235,-0.004761747,,0.013947236,-0.034536892,0.04,0.040322581,0.385964912,0.045714286,0,0,0,0,,0,0,
2017/5/10,0.012291484,-0.001986097,-0.009731148,0,-0.011146497,,0,0.019116315,0.013053203,,0.018570817,0.042553191,0.029411765,0.024793388,-0.095238095,-0.027777778,0,0,0,0,,0,0,
2017/5/9,-0.001752848,0.005994006,-0.027423809,0,-0.011023622,,,0.004407854,0.001847169,,0.000599418,0.02173913,-0.071038251,-0.008196721,-0.148648649,-0.126213592,0,0,0,0,,0,0,
2017/5/8,0.004401408,0.007042254,-0.011983788,0,-0.006259781,,,0.019572665,-0.007049293,,-0.011176969,0.011844332,-0.061538462,-0.008130081,-0.080745342,0,0,-0.006756757,0,0,,0,0,
2017/5/7,-0.014744146,,,,,,,,,,0.001186843,-0.010050251,0,0.060344828,-0.052941176,0,,,,,,,,
2017/5/6,0.017652251,,,,,,,,,,-0.002789754,-0.01322314,0.037234043,-0.041322314,-0.005847953,0,,,,,,,,
2017/5/5,0.035648995,-0.009960159,-0.014313127,0,0,,,-0.027341358,-0.007707961,,0.005354411,0.12037037,-0.073891626,-0.147887324,0.295454545,-0.134453782,-0.108064516,-0.006044325,0,0,,0,0,
2017/5/4,0.016728625,-0.02901354,-0.008916602,0,-0.00622084,,,-0.050202153,-0.027367346,,0.027418791,0.03250478,0.292993631,-0.188571429,-0.204819277,-0.081081081,0,0,0,0,,0,0,
2017/5/3,0.012229539,-0.036346692,-0.002270748,0,-0.013803681,,,-0.03138306,-0.004979748,,0.034414235,-0.186625194,-0.012578616,0.944444444,0.099337748,0.295,0,0,0,0,,-0.0625,0,
2017/5/2,0.011417697,-0.032461677,0.002088464,0,-0.004580153,,,0.011910513,0.005126876,,0.039140229,0.025518341,0,0.071428571,0.055944056,0,0,0.0049946,0,0,,0,0,
2017/5/1,0.011549567,,,,,,,,,,-0.006897837,0.017857143,0,0,0.014184397,0,,,,,,,,
2017/4/30,0.010700389,,,,,,,,,,-0.004361949,0.003257329,0,0,0.052238806,0,,,,,,,,
2017/4/29,-0.009633911,,,,,,,,,,-0.005721141,-0.039123631,-0.042168675,-0.115789474,0.046875,0.111111111,,,,,,,,
2017/4/28,0,-0.022045855,0.002625246,0,-0.02238806,,0,0.008233429,-0.017596913,,-0.001750184,0.007886435,0.044025157,-0.030612245,0.174311927,-0.086294416,0,0,0,0,,0,0,
2017/4/27,-0.000962464,-0.011333915,0.001549417,0,,,,0.032764203,0.003240634,,-0.005040785,0.00955414,0.025806452,-0.039215686,-0.120967742,0.100558659,0,0,0,0,,0,0,
2017/4/26,-0.003835091,-0.006065858,-0.000265991,0,-0.005934718,0,,-0.005295335,-0.008691767,,-0.001281465,0.034596376,-0.03125,0.085106383,0.265306122,-0.086734694,0.016393443,-0.012266667,0,0,,0,0,
2017/4/25,0.013605442,-0.013675214,-0.000219003,0,-0.011730205,,,-0.006152573,-0.011328323,,0.018078464,-0.063271605,-0.012345679,-0.078431373,0,0.298013245,0,0,0,0,,0,0,
2017/4/24,-0.00483559,-0.020920502,-0.00128109,0,-0.002923977,,,-0.040590842,-0.03000717,,0.013410143,-0.035714286,0,0.146067416,-0.039215686,0,0,0,0,0,,0,0,
2017/4/23,0.02173913,,,,,,,,,,-0.001320381,0.005988024,-0.052631579,0.011363636,0.085106383,0,,,,,,,,
2017/4/22,-0.003937008,,,,,,,,,,0.016489311,0.004511278,-0.005813953,-0.102040816,-0.040816327,0.013422819,,,,,,,,
2017/4/21,-0.0078125,-0.038616251,0.00283579,0,-0.002915452,,,0.011800311,-0.015097183,,0.00850817,-0.014814815,0.02994012,0.053763441,0.166666667,0.087591241,0,0.01010101,0,0,,0,0,
2017/4/20,0,-0.027386541,-0.007649373,0,0,,,0.04050756,0.012185083,,-0.005480769,0.028963415,0.04375,-0.03125,-0.066666667,-0.086666667,0,0,0,0,,0,0,
2017/4/19,0.020937188,-0.01236476,-0.029703717,0,-0.01010101,,,-0.020637602,-0.01698083,,-0.001631948,0.044585987,-0.024390244,0.054945055,-0.042553191,-0.112426036,0,0,0,0,,0,0,
2017/4/18,0,-0.00154321,-0.038537965,0,-0.005738881,,,-0.028979698,-0.018418024,,0.049254633,-0.017214397,0.037974684,-0.133333333,-0.087378641,0.036809816,0,0,0,0,,0,0,
2017/4/17,0.004004004,,-0.045122779,0,0,,,0.015562582,-0.004265436,,0.006998681,0.001567398,0,0,0.144444444,0,0,0,0,0,,0,0,
2017/4/16,0.005030181,,,,,,,,,,-0.007849452,0.011093502,0,-0.0625,-0.042553191,0,,,,,,,,
2017/4/15,-0.011928429,,,,,,,,,,0.015430206,0.0096,0.019354839,0.046728972,0.056179775,0,,,,,,,,
2017/4/14,0.028629857,,-0.077808289,0,0,,,-0.031387647,-0.006110607,,0.032823219,-0.065769806,0.033333333,0.038834951,-0.101010101,0.244274809,0,-0.047466325,0,0,,0.032258065,0,
2017/4/13,-0.002040816,0.010920437,-0.037293429,0,0,,,-0.008676414,-0.008222243,,-0.000316522,0.029230769,-0.0625,-0.096491228,-0.038834951,-0.064285714,0,0,0,0,,0,0,
2017/4/12,-0.014084507,0.015847861,-0.025475112,0,-0.001432665,,0,-0.05227496,-0.002699088,,0.028987081,0.043338684,0,-0.017241379,0.009803922,0,0,0,0,0,,0,0,
2017/4/11,-0.001005025,0.025182778,-0.029999419,0,-0.009929078,,,-0.037870502,-0.02572248,,-0.043906996,-0.028081123,0.025641026,0.008695652,0.073684211,0.076923077,0,0,0,0,,0,0,
2017/4/10,-0.014851485,0.006541292,-0.014648281,0,-0.007042254,,,-0.008019018,0.000758295,,-0.006804124,-0.013846154,0.006451613,0.055045872,-0.010416667,-0.235294118,0,0,0,0,,0,0,
2017/4/9,-0.001976285,,,,,,,,,,-0.002262909,0,-0.006410256,0,-0.03030303,-0.005847953,,,,,,,,
2017/4/8,0.014028056,,,,,,,,,,-0.001232792,0.051779935,-0.071428571,-0.068376068,-0.255639098,0.195804196,,,,,,,,
2017/4/7,-0.009920635,0.006584362,-0.005331389,0,-0.005602241,,0,-0.036955237,-0.018299866,,0.009855794,0.183908046,0.018181818,-0.145985401,-0.431623932,-0.16374269,0,0.137956204,0,0,,0.148148148,0,
2017/4/6,-0.002967359,-0.006541292,0.000125326,0,0,,,0.002399054,-0.003631012,,-0.016127386,-0.152597403,0.03125,0.212389381,0.983050847,0.266666667,0,0,0,0,,0,0,
2017/4/5,0.00999001,-0.025498008,-0.005945909,0,0,,,0.073395634,0.011100237,,0,-0.043478261,0.038961039,0.046296296,0,0,0,0,0,0,,0,0,
2017/4/4,0.007042254,-0.021060842,,,,,,,,,0.002866209,-0.010752688,0.054794521,-0.009174312,0,0,,,,,,,,
2017/4/3,-0.025490196,-0.01156515,,,,,,,,,-0.006811712,-0.00913242,-0.051948052,0,0,0,,,,,,,,
2017/4/2,-0.001956947,,,,,,,,,,-0.029310175,-0.029542097,0,-0.221428571,0,0,,,,,,,,
2017/4/1,-0.02851711,,,0,0,,,,,,0.031873727,0.032012195,0.006535948,0.37254902,-0.032786885,0,0,0,0,0,,0,0,
2017/3/31,0.009596929,-0.020392749,-0.009712658,0,0,,,0.003969437,0.005177029,,0.024196913,-0.009063444,0.013245033,0,0.196078431,-0.02173913,0,0,0,0,,0,0,
2017/3/30,0.026600985,-0.010463378,-0.00476621,-0.146067416,0,,,0.001653305,-0.003221263,,0.003348681,0.010687023,0,0.02,-0.105263158,0.045454545,-0.00974026,-0.063568011,0,0,,0,0,
2017/3/29,0.001974334,0.003750938,-0.012325399,,0,,,0.04852406,0.025352957,,0.011002962,0.003062787,-0.032051282,0.020408163,-0.05785124,0.294117647,,,0,0,,0,0,
2017/3/28,0.021169355,0.039781591,-0.030286508,,0,0,,-0.014606715,0.007843678,,0.007246377,-0.042521994,0.012987013,-0.02,0.1,0,,,0,0,,0,0,
2017/3/27,0.002020202,0.033870968,-0.117913319,,0,,,-0.051968487,-0.000511535,,0.009466437,-0.011594203,0.026666667,0.01010101,0,0,,,0,0,,0,0,
2017/3/26,0.014344262,,,,,,,,,,-0.007261854,0.017699115,0,-0.057142857,-0.009009009,0,,,,,,,,
2017/3/25,-0.00509684,,,,,,,,,,0.002676946,0.005934718,0.034482759,0.105263158,-0.075,0,,,,,,,,
2017/3/24,0.013429752,0.036789298,-0.04692401,0,-0.001398601,,0,-0.006340584,-0.026996832,,0.00150134,0.004470939,-0.064516129,0.032608696,0.165048544,0,0,0,0,0,,0,0.150442478,
2017/3/23,0.011494253,0.005042017,-0.037216828,0,0,,,0.024019948,0.021310358,,-0.000214431,-0.004451039,0.115107914,0.057471264,0.009803922,0,-0.001620746,0,0,0,,0,0,
2017/3/22,0.007368421,-0.008333333,-0.018897718,0,-0.006944444,,,-0.027012975,-0.006294323,,-0.019449117,0.041731066,-0.007142857,-0.02247191,-0.072727273,-0.19047619,0.001623377,0,0,0,,0,0,
2017/3/21,0.012793177,-0.004149378,0.002254801,0,0,,0,-0.007554764,-0.006295576,,-0.012765957,-0.0152207,0.007194245,-0.091836735,0.157894737,0.188679245,0.003257329,0,0,0,,0,0,
2017/3/20,0.004282655,0.007525084,0.008019418,0,0,,,0.022143015,-0.003675675,,-0.007723996,-0.006051437,0.022058824,0,-0.12037037,0,0.008210181,0,0,0,,0,0,
2017/3/19,0.004301075,,,,,,,,,,-0.006547984,-0.007507508,0,0,0.136842105,0,,,,,,,,
2017/3/18,0.003236246,,,,,,,,,,0.006591143,0.057142857,-0.028571429,-0.125,-0.030612245,0,,,,,,,,
2017/3/17,0.003246753,0.020477816,0.006769826,0,0.035971223,,0,-0.02035156,0.005912883,,0.00320281,-0.029275809,-0.090909091,0.178947368,0.180722892,0,-0.003273322,0,0,0,,0,0.027272727,
2017/3/16,0.004347826,0.02179599,-0.003347763,0,0,,,-0.004879292,0.004870127,,-0.011136085,0.010903427,0.006535948,-0.077669903,-0.224299065,0.070707071,0,0,0,0,,0,0,
2017/3/15,0.002178649,0.03147482,-0.016787809,0,0.045112782,,0,-0.003263592,0.00160605,,-0.018254764,0.054187192,0.02,-0.046296296,0,-0.131578947,0.001639344,-0.08847352,0,0,,0,0,
2017/3/14,0.011013216,0.011828935,-0.032175907,0,0,,,-0.004253671,0.00894494,,0.002614642,-0.028708134,0.111111111,0.018867925,0.049019608,0.008849558,0.001642036,0,0,0,,0,0,
2017/3/13,0.008888889,0.011970534,-0.023166888,0,0.031007752,,,0.032025711,0.039446995,,-0.005102551,-0.017241379,0.038461538,0,-0.046728972,0,0.001644737,0,-0.026845638,0,,0,0,
2017/3/12,0.013513514,,,,,,,,,,-0.007152081,0.003144654,0,0.00952381,0,0,,,,,,,,
2017/3/11,0.036172695,,,,,,,,,,0.007203602,-0.00625,-0.051094891,0.05,0.049019608,0.066037736,,,,,,,,
2017/3/10,0,0.020676692,0.002028007,0,0,0,,-0.023362704,-0.000290057,,-0.020098039,-0.027355623,0.030075188,-0.056603774,0.228915663,0.06,0.015025042,0,0,0,,0,0,
2017/3/9,-0.009248555,0.018181818,0.028407264,0,0,,,0.006941005,-0.002191115,,-0.01525391,0.00304878,-0.007462687,0.029126214,-0.153061224,-0.159663866,0.005033557,0,0,0,,0,0,
2017/3/8,0,0.011616651,0.06117361,0,0,,,-0.007222785,-0.000309778,,0.016486752,0.047923323,0.12605042,-0.063636364,-0.461538462,0.081818182,0.003367003,0,0,0,,0,0,
2017/3/7,-0.014806378,0.055158325,0.066959119,0,0.015748031,,,-0.005375545,-0.011369844,,-0.05621932,-0.051515152,-0.098484848,-0.026548673,1.068181818,-0.026548673,0.006779661,0,0,0,,0,0,
2017/3/6,-0.014590348,0.042598509,0.039901387,0,0.016,,,-0.001766422,0.015822687,,-0.006624344,0,0,-0.034188034,-0.153846154,0,0.026086957,0,0,0,,0,0,
2017/3/5,-0.020879121,,,,,,,,,,-0.010019127,0,0,0.00862069,0.009708738,0,,,,,,,,
2017/3/4,-0.016216216,,,,,,,,,,-0.012235717,0.021671827,0.081967213,-0.147058824,0,-0.18705036,,,,,,,,
2017/3/3,0.006528836,0.038716814,0.039416073,0,0,,,-0.005699802,0.000786049,,0.00807183,-0.010719755,-0.075757576,0.014925373,0.04040404,0.037313433,0,0,0,0,,0,0,
2017/3/2,0.021111111,0.037887486,0.037166475,0,0,,,-0.0065611,0.000951693,,0.000362911,-0.007598784,0.109243697,-0.014705882,0.151162791,0,0,-0.017747858,0,0,,0,0,
2017/3/1,0.020408163,0.013969732,0.044092905,0,0,,,0.063576333,0.002739496,,-0.018696581,0.012307692,0,-0.028571429,-0.033707865,-0.075862069,0,0,0,0,,0,0,
2017/2/28,0.025581395,-0.021640091,0.050677809,0,0.016260163,,,-0.013616884,0.012969905,,-0.006017699,-0.025487256,-0.07751938,0.02189781,0.171052632,0.082089552,0,0,0,0,,0,0,
2017/2/27,-0.012629162,0.003428571,0.049550635,0,0,,,0.006371976,0.017365478,,0.004444444,0.001501502,-0.007692308,0,-0.126436782,0,0.00877193,0,0,0,,0,0,
2017/2/26,0.010440835,,,,,,,,,,-0.002924754,-0.002994012,0.007751938,0.014814815,0.035714286,0,,,,,,,,
2017/2/25,-0.024886878,,,,,,,,,,0.015388769,0.013657056,-0.007692308,0.030534351,-0.086956522,0.022900763,,,,,,,,
2017/2/24,0.004545455,0.022196262,0.091423087,0,0,,,0.028427957,-0.0060229,,-0.011563779,0.036163522,0.007751938,-0.04379562,-0.123809524,-0.096551724,0,0,0,0,,0.038461538,0,
2017/2/23,0.019698725,0.062034739,0.114639973,0,0,,,-0.004163976,0.015408237,,0.008341555,0.06,-0.058394161,0.030075188,-0.173228346,-0.064516129,0,0,0,0,,0,0,
2017/2/22,-0.02154195,0.035989717,0.074165617,0.05952381,0,,,-0.034138407,0.00164683,,-0.003307706,0.050788091,-0.149068323,0.055555556,0.024193548,-0.148351648,0.027027027,0.02125,0,0,,0,0,
2017/2/21,-0.006756757,0.027741083,0.022421813,0.05,0,,,-0.008505225,-0.000845812,,-0.009299442,-0.062397373,0.102739726,-0.09352518,0.107142857,0.281690141,0,0,0,0,,0,0,
2017/2/20,0.010238908,0.021592443,0.010737469,0,0,,,0.036272821,0.012021889,,-0.034709755,0.021812081,0.028169014,-0.108974359,-0.104,-0.006993007,0,0,0,0,,0,-0.035087719,
2017/2/19,-0.012359551,,,,,,,,,,,,,,,,,,,,,,,
2017/2/18,-0.025191676,,,,,,,,,,,,,,,,,,,,,,,
2017/2/17,0.026996625,0.043661972,0.002953366,0,0,,,0.010003932,0.008822286,,0.000256542,0.015332198,-0.059602649,0.138686131,-0.094202899,-0.148809524,0,0,0,0,,0,0,
2017/2/16,-0.025219298,0.031976744,0.004112395,0,0,,,0.007409077,0.016713546,,-0.006372674,0.003418803,-0.032051282,-0.086666667,0.2,0,0,0,0,0,,0,-0.008695652,
2017/2/15,-0.032873807,0.004379562,0.000951178,0,0,,,-0.008747042,0.007284846,,0.008051392,0.0502693,0,0.111111111,-0.148148148,-0.01754386,0,-0.058823529,0,0,,-0.071428571,0,
2017/2/14,-0.025826446,-0.004360465,0.008484387,0,0,,,0.016388176,-0.007255959,,-0.027083333,0.031481481,-0.037037037,-0.129032258,0.038461538,-0.290456432,0,0,0,0,,0,-0.00862069,
2017/2/13,-0.03777336,-0.01994302,,0,-0.016,,,0.041484423,-0.000294684,,0.004856808,-0.001848429,0,0,-0.078014184,0,0,0,0,0,,0,0,
2017/2/12,0.003992016,,,,,,,,,,0.015044624,0.001851852,0,0.183206107,0.175,0,,,,,,,,
2017/2/11,-0.002985075,,,,,,,,,,-0.010596249,-0.005524862,-0.018181818,-0.077464789,-0.14893617,0.021186441,,,,,,,,
2017/2/10,-0.027105518,-0.007072136,0.011306617,0,0,,,0.024288218,0.011560753,,0.007541095,0.079522863,-0.011976048,-0.206703911,0,-0.074509804,0,0,0,0,,0,-0.09375,
2017/2/9,-0.016190476,0.007122507,0.02438105,0,0,,,-0.035288121,-0.012838221,,-0.008235294,0.088744589,-0.034682081,-0.193693694,-0.084415584,-0.00390625,0,0,0,0,,0,-0.015384615,
2017/2/8,-0.033149171,-0.016806723,0.019208941,0,0,,,0.009052118,-0.000969157,,0.046521854,0.057208238,-0.011428571,-0.10483871,0.350877193,0.098712446,0,0,0,0,,0,0,
2017/2/7,-0.023381295,-0.028571429,0.029538672,0,0,,,0.007866431,0.004601835,,-0.004900674,-0.026726058,0.047904192,0.319148936,-0.11627907,0,0,-0.014492754,0,0,,0,0,
2017/2/6,-0.031358885,-0.022606383,0.039546967,0,,,,-0.013867906,0.018279346,,0.003512778,0.011261261,-0.01183432,0,0.032,0,0,0,0.006756757,0,,-0.096774194,-0.007633588,
2017/2/5,-0.017123288,,,,0,,,,,,0.002376761,0.054631829,-0.081521739,-0.117370892,-0.007936508,0,,,,,,,,
2017/2/4,-0.027477102,,,0,0,,,,,,0.041151132,-0.011737089,0.179487179,0,-0.023255814,-0.280864198,0.009090909,0,0,0,,0,0,
2017/2/3,0.010942761,-0.023376623,0.024391178,0,0,,,-0.067725808,-0.022749984,,0.004141358,0,-0.012658228,0,0,0,0,0,-0.057324841,0,,0,0,
2017/2/2,0.001686341,-0.020356234,,,,,,,,,-0.004398021,-0.00234192,0,0,0.252427184,0,,,,,,,,
2017/2/1,-0.005033557,-0.0175,,,,,,,,,0.001835873,-0.004662005,0,0,0,0,,,,,,,,
2017/1/31,-0.010788382,-0.019607843,,,,,,,,,0.005538121,-0.006944444,0,0,0,0,,,,,,,,
2017/1/30,-0.013104013,-0.013301088,,,,,,,,,-0.000276829,-0.01594533,-0.0125,0,0.04040404,0,,,,,,,,
2017/1/29,-0.00245098,,,,,,,,,,0.007437018,-0.011261261,0,0,0,0,,,,,,,,
2017/1/28,0.014925373,,,,,,,,,,0.015098613,-0.015521064,0.073825503,0,0,0,,,,,,,,
2017/1/27,-0.004950495,-0.01547619,,,,,,,,,0.044039409,-0.056485356,-0.062893082,-0.004672897,0.03125,1.769230769,,,,,,,,
2017/1/26,-0.035031847,-0.025522042,0.004886683,,0,,,0.048389198,0.002865284,,0.001974334,-0.038229376,0.032467532,0.132275132,0.2,0.00862069,,0,0,0,,0,0,
2017/1/25,0.003194888,-0.027088036,-0.008280546,0,0,,,-0.011447061,0.006508165,,0.003268298,-0.011928429,0.013157895,0.092485549,-0.344262295,0,0,0,0,0,,0,0,
2017/1/24,-0.001594896,-0.030634573,-0.026125088,0,-0.015748031,,,0.028008077,0.026333656,,0.014264189,-0.056285178,0.006622517,0.138157895,0.173076923,0,0,0,0,0,,0,0,
2017/1/23,0.000798085,-0.011891892,-0.049135144,0,0,,,0.002688836,0.020507426,,-0.012694635,-0.071428571,0.063380282,0,0.142857143,-0.008547009,0,0,0,0,,0,0,
2017/1/22,0.013754045,,,0,-0.0078125,,,,,,0.001788376,-0.005199307,0,0,-0.042105263,-0.008474576,0,0,0,0,,0,0,
2017/1/21,0.008979592,,,,,,,,,,-0.003169258,-0.091338583,-0.128834356,0.235772358,0.021505376,0.204081633,,,,,,,,
2017/1/20,0.004098361,-0.018046709,-0.046737629,0,-0.015384615,,,-0.043591894,-0.008932075,,0.034846777,-0.02607362,0.051612903,0.060344828,-0.03125,0.272727273,0,0,0,0,,0,0,
2017/1/19,-0.015334948,-0.010504202,-0.067370372,0,-0.003831418,,,0.009988384,0.007996605,,-0.021952686,-0.018072289,-0.03125,0.171717172,-0.020408163,-0.072289157,0,0,0,0,,0,0,
2017/1/18,-0.003218021,0.032537961,-0.064852081,0,0,,,0.001329828,-0.004528967,,-0.003197442,-0.010432191,0.038961039,-0.066037736,-0.08411215,0.092105263,0,0,0,0,,0,-0.02238806,
2017/1/17,-0.02433281,-0.003243243,-0.029329151,0,0,,0,-0.078966653,-0.055183353,,0.015525114,-0.021865889,-0.031446541,0.070707071,-0.100840336,-0.191489362,-0.009009009,0,0,0,,-0.060606061,-0.007407407,
2017/1/16,-0.001567398,0.016483516,-0.02760447,0,0,,-0.04,0.044467741,0.02932029,,-0.018328519,0.014792899,0.006329114,-0.01,-0.024590164,0.044444444,0.009090909,-0.00862069,0,0,,0,0,
2017/1/15,-0.007003891,,,,,,,,,,-0.001789798,-0.014577259,0,-0.038461538,-0.102941176,0.022727273,,,,,,,,
2017/1/14,-0.01532567,,,,,,,,,,0.009840345,0.001459854,0.112676056,-0.028037383,0.03030303,0.047619048,,,,,,,,
2017/1/13,-0.02173913,0.020179372,-0.004334622,0.025641026,0,,,0.016711306,0.000390947,,0.001609172,-0.022824536,-0.02739726,0.114583333,0.056,0.090909091,0,0,0,0,,0,0,
2017/1/12,-0.00373413,-0.002237136,0.002185883,-0.025,0,,,-0.002611574,-0.004433089,,-0.001907248,0.027859238,-0.051948052,-0.085714286,-0.155405405,-0.0375,0,0,0,0,,-0.057142857,0,
2017/1/11,0.011329305,-0.034557235,0.012338763,0,0,,,-0.015470859,-0.001322566,,-0.013761014,0,-0.012820513,-0.07079646,-0.026315789,-0.111111111,0,0,0,0.037037037,,0,-0.02173913,
2017/1/10,-0.010463378,-0.024236038,0.027189941,0,0,,,0.053932371,0.019419635,,-0.039828897,0,-0.071428571,-0.034188034,-0.100591716,-0.0625,0,-0.005714286,0,0,,0,0,
2017/1/9,-0.012546125,-0.014537902,0.017775305,0,0,,,0.030730131,0.015971296,,0.004200076,-0.020114943,0,0,0.181818182,0,0,0,0,0,,0,0.00729927,
2017/1/8,-0.037642045,,,,,,,,,,-0.006731772,-0.009957326,0,0.026315789,-0.046666667,0,,,,,,,,
2017/1/7,-0.018131102,,,,,,,,,,-0.022792551,0.046130952,-0.023255814,-0.025641026,-0.025974026,-0.076923077,,,,,,,,
2017/1/6,-0.003474635,-0.02034588,0.017869385,0,0,,,0.011374351,-0.003222584,,-0.01388762,-0.023255814,-0.033707865,-0.033057851,-0.006451613,-0.00952381,0,0,0,0,,-0.078947368,0,
2017/1/5,-0.009635237,0.014447884,0.00788608,0,0,,,0.007124629,0.024378352,,-0.007076114,0.028400598,0.072289157,0.07079646,0.006493506,-0.16,0,0,0,0,,0,-0.014388489,
2017/1/4,-0.008867667,0.016789087,0.001142909,0,,,,0.010396132,0.007219524,,-0.004874966,-0.002980626,0.012195122,0.164948454,0.132352941,-0.015748031,0,0,0,0,,0,0,
2017/1/3,-0.014784946,-0.008324662,-0.001321619,0,-0.011363636,,0,-0.04538085,-0.015916025,,0.006268169,-0.04822695,0.025,-0.03,-0.00729927,0,0,-0.083769634,0,0,,0,-0.007142857,
2017/1/2,0.021978022,,,,,,,,,,-0.00353037,-0.051144011,0,0.030927835,0,0,,,,,,,,
2017/1/1,0.009708738,,,,,,,,,,-0.011454139,0.036262204,-0.08045977,-0.093457944,0.030075188,0,,,,,,,,
2016/12/31,0.011220196,,,,,,-0.056603774,,,,,,,,,,,,,,,,,
2016/12/30,0.00281294,,-0.003114099,0,0,,0.06,-0.005081278,-0.008314159,,0.001523571,0.046715328,-0.027932961,-0.027272727,-0.203592814,-0.211180124,0,0,0,0,,0,-0.027777778,
2016/12/29,-0.001404494,,0.000734148,0,0,,0.021798365,0.000951289,-0.019571692,,0.003688045,0.020864382,0.052941176,0.028037383,0.063694268,-0.030120482,0,0,0,0,,0,0,
2016/12/28,0.002111189,,-0.002898204,0,0,,,-0.009774898,-0.004153128,,-0.036738584,0.009022556,-0.01734104,-0.100840336,-0.02484472,0,0,0,0,0,,0,0,
2016/12/27,-0.002807018,,-0.003972919,0,-0.007518797,,,2.26E-05,0.005883677,,-0.011900685,0.013719512,-0.059782609,-0.016528926,0.012578616,0,0,0,0,0,,0,-0.111111111,
2016/12/26,-0.019270475,,-0.002567604,0,0,,,-0.05859257,-0.013017584,,0.004126547,0.036334913,0,-0.016260163,-0.042168675,-0.029239766,0,0,0,0,,0,0,
2016/12/25,-0.000687758,,,,,,,,,,-0.002914452,-0.026153846,0,0.025,-0.040462428,0.005882353,,,,,,,,
2016/12/24,-0.023505709,,,,,,,,,,0.010130747,-0.004594181,0.128834356,0.016949153,-0.005747126,0.024096386,,,,,,,,
2016/12/23,-0.02232436,0.035560345,-0.007585465,0,-0.011152416,,0.060693642,-0.007832345,-0.008837229,,-0.014001537,-0.034023669,-0.012121212,-0.048387097,-0.027932961,0.152777778,0,0,0,0,,0,0,
